AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,time_deff,Mean_Transaction,Mean_Account_Balance
AC00001,212.97,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,0.0,130.38,2915.16
AC00001,47.79,Debit,Denver,D000649,59.12.96.11,M034,Branch,25,Student,37,1,1649.92,73.0,130.38,2915.16
AC00002,331.66,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,76,Retired,145,1,7216.3,0.0,293.7442857142857,4480.421428571429
AC00002,12.62,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1,6420.47,40.0,293.7442857142857,4480.421428571429
AC00002,59.32,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,21.0,293.7442857142857,4480.421428571429
AC00002,516.47,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1,1305.06,27.0,293.7442857142857,4480.421428571429
AC00002,476.99,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1,1154.48,19.0,293.7442857142857,4480.421428571429
AC00002,263.99,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,53.0,293.7442857142857,4480.421428571429
AC00002,395.16,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,56,Retired,17,1,5340.73,12.0,293.7442857142857,4480.421428571429
AC00003,384.11,Debit,Fort Worth,D000290,194.88.79.54,M032,ATM,58,Retired,12,1,7902.52,0.0,253.26800000000003,7329.567999999999
AC00003,237.97,Debit,Columbus,D000498,170.154.69.105,M089,ATM,69,Doctor,69,1,13486.15,1.0,253.26800000000003,7329.567999999999
AC00003,207.47,Debit,Miami,D000643,147.234.20.46,M045,ATM,53,Doctor,12,1,1688.9,24.0,253.26800000000003,7329.567999999999
AC00003,20.17,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,77,Retired,86,1,3869.37,98.0,253.26800000000003,7329.567999999999
AC00003,416.62,Credit,Baltimore,D000495,161.195.172.148,M091,Online,26,Student,67,1,9700.9,164.0,253.26800000000003,7329.567999999999
AC00004,99.25,Credit,Phoenix,D000524,17.87.7.140,M048,Online,63,Retired,93,1,2570.34,0.0,242.2311111111111,3340.956666666667
AC00004,136.31,Debit,Nashville,D000405,6.234.101.35,M055,Online,74,Retired,65,1,4384.95,68.0,242.2311111111111,3340.956666666667
AC00004,365.43,Debit,Portland,D000146,136.172.149.77,M014,ATM,25,Student,176,1,1073.51,43.0,242.2311111111111,3340.956666666667
AC00004,273.24,Debit,Fresno,D000626,211.45.75.44,M011,Branch,51,Retired,173,1,2202.21,41.0,242.2311111111111,3340.956666666667
AC00004,13.16,Debit,Mesa,D000098,161.177.41.214,M084,Branch,43,Engineer,98,1,1019.46,25.0,242.2311111111111,3340.956666666667
AC00004,547.87,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,1.0,242.2311111111111,3340.956666666667
AC00004,642.54,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,6.0,242.2311111111111,3340.956666666667
AC00004,40.66,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,51.0,242.2311111111111,3340.956666666667
AC00004,61.62,Debit,Miami,D000134,93.218.115.132,M066,Online,57,Doctor,19,1,8365.37,34.0,242.2311111111111,3340.956666666667
AC00005,116.89,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,0.0,347.97444444444443,4457.837777777778
AC00005,377.92,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1,2254.71,16.0,347.97444444444443,4457.837777777778
AC00005,488.54,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,33.0,347.97444444444443,4457.837777777778
AC00005,107.48,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,45.0,347.97444444444443,4457.837777777778
AC00005,162.59,Debit,Indianapolis,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,35.0,347.97444444444443,4457.837777777778
AC00005,420.28,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,15.0,347.97444444444443,4457.837777777778
AC00005,680.76,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,3.0,347.97444444444443,4457.837777777778
AC00005,417.8,Credit,Philadelphia,D000630,49.31.186.82,M066,Branch,27,Student,130,1,1518.82,13.0,347.97444444444443,4457.837777777778
AC00005,359.51,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,174.0,347.97444444444443,4457.837777777778
AC00006,173.13,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,0.0,254.43,2051.2625
AC00006,74.88,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,22.0,254.43,2051.2625
AC00006,611.15,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,97.0,254.43,2051.2625
AC00006,158.56,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,85.0,254.43,2051.2625
AC00007,162.63,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,0.0,299.07599999999996,7428.594
AC00007,137.48,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,24.0,299.07599999999996,7428.594
AC00007,637.75,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,5.0,299.07599999999996,7428.594
AC00007,466.64,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,29.0,299.07599999999996,7428.594
AC00007,90.88,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,90.0,299.07599999999996,7428.594
AC00008,76.16,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,0.0,76.16,1072.25
AC00009,243.08,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,0.0,196.816,2929.928
AC00009,153.59,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,114.0,196.816,2929.928
AC00009,87.38,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2.0,196.816,2929.928
AC00009,425.18,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,101.0,196.816,2929.928
AC00009,74.85,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,23.0,196.816,2929.928
AC00010,34.17,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,0.0,395.5242857142857,5618.32
AC00010,7.56,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,50.0,395.5242857142857,5618.32
AC00010,281.91,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,5.0,395.5242857142857,5618.32
AC00010,508.68,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,128.0,395.5242857142857,5618.32
AC00010,11.18,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,48.0,395.5242857142857,5618.32
AC00010,1086.6,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,28.0,395.5242857142857,5618.32
AC00010,838.57,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,37.0,395.5242857142857,5618.32
AC00011,31.53,Debit,Kansas City,D000328,37.143.57.20,M095,Online,25,Student,283,1,874.93,0.0,348.3228571428572,2679.1014285714286
AC00011,733.29,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,39.0,348.3228571428572,2679.1014285714286
AC00011,537.86,Debit,Kansas City,D000159,144.228.168.6,M001,Online,27,Student,134,1,293.06,135.0,348.3228571428572,2679.1014285714286
AC00011,304.31,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,26.0,348.3228571428572,2679.1014285714286
AC00011,25.36,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,72.0,348.3228571428572,2679.1014285714286
AC00011,688.36,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,0.0,348.3228571428572,2679.1014285714286
AC00011,117.55,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,8.0,348.3228571428572,2679.1014285714286
AC00012,137.49,Debit,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,4471.05,0.0,344.63000000000005,4145.016666666666
AC00012,927.45,Debit,Austin,D000210,176.96.83.253,M027,ATM,24,Student,95,1,1161.84,9.0,344.63000000000005,4145.016666666666
